Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
6,"989,2","988,5","992,1","989,9","14,4","7,2","7,2","6,0","8,9","12,1","8,4","9,5",71,60,79,70,,,
7,"995,3","998,2","1001,5","998,3","8,4","1,7","6,7","5,3","5,3","2,6","1,7","2,8",94,90,93,92,,,
8,"1004,2","1005,8","1008,8","1006,3","4,0","1,3","2,7","1,3","1,6","3,4","3,4","3,0",92,82,85,86,,,
9,"1011,1","1011,4","1012,2","1011,6","3,5","-1,0","4,5","0,6","0,5","1,6","-1,0","0,0",72,67,76,72,,,
10,"1012,3","1011,8","1012,9","1012,3","3,8","-2,5","6,3","-2,4","-2,4","2,2","-0,9","-0,5",71,59,72,67,,,
11,"1012,2","1012,0","1012,9","1012,4","4,4","-2,6","7,0","-3,4","-2,1","3,6","-1,8","-0,5",60,45,65,57,,,
12,"1015,5","1016,9","1018,1","1016,8","2,2","-4,4","6,6","-5,1","-4,4","1,5","-3,8","-2,6",70,47,68,62,,,
13,"1018,8","1018,1","1020,0","1019,0","4,0","-5,1","9,1","-6,4","-5,1","3,0","-2,0","-1,5",78,54,79,70,,,
14,"1020,8","1021,5","1021,7","1021,3","0,4","-5,7","6,1","-8,7","-5,7","-0,4","-2,5","-2,8",81,73,90,81,,,
15,"1021,4","1020,1","1019,9","1020,5","8,9","-4,5","13,4","-6,7","-4,2","7,3","2,2","1,9",90,48,68,69,,,
16,"1019,5","1016,9","1014,2","1016,9","9,5","-3,6","13,1","-6,4","-3,4","8,3","3,4","2,9",95,42,75,71,,,
17,"1010,2","1007,0","1006,9","1008,0","5,6","-3,6","9,2","-5,3","-3,6","2,6","1,2","0,4",97,62,83,81,,,
18,"1007,5","1007,5","1009,3","1008,1","3,2","-1,4","4,6","-3,0","-0,6","2,8","1,6","1,4",94,86,92,91,,,
19,"1009,7","1009,2","1008,6","1009,2","1,6","-0,4","2,0","-0,4","-0,2","0,9","0,6","0,5",93,90,89,91,,,
20,"1008,8","1008,0","1006,6","1007,8","4,4","-0,6","5,0","-0,2","-0,6","3,0","4,0","2,6",93,78,86,86,,,
21,"1002,0","998,5","999,3","999,9","12,4","2,0","10,4","-3,4","2,0","11,9","9,4","8,2",77,37,60,58,,,
